id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send
509169.3.peg.801	4.a.1	n-acetyl-d-glucosamine		rxn05485,rxn08041	fig|rast|509169.3.peg.801|4.a.1.1.15	28.926	3.18e-23	99.4	84	SSTG01000119.1 Muribaculaceae bacterium strain NM86_A22 NODE_119_length_7519_cov_1211.32, whole genome shotgun sequence	1793	777
658118070	3.a.1	zinc		rxn05150,rxn09388,rxn09392,rxn13918	gnl|tc-db|658118070|3.a.1.15.16	26.829	1.62e-15	70.9	90	SSTG01000242.1 Muribaculaceae bacterium strain NM86_A22 NODE_242_length_1573_cov_1186.94, whole genome shotgun sequence	791	1381
a0pjk1	2.a.21	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a0pjk1|2.a.21.3.15	36.672	1.14e-81	277	97	SSTG01000069.1 Muribaculaceae bacterium strain NM86_A22 NODE_69_length_11720_cov_1411.96, whole genome shotgun sequence	926	2620
a0pjk1	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a0pjk1|2.a.21.3.15	36.672	1.14e-81	277	97	SSTG01000069.1 Muribaculaceae bacterium strain NM86_A22 NODE_69_length_11720_cov_1411.96, whole genome shotgun sequence	926	2620
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn05500,rxn08140,rxn08141	gnl|tc-db|a0qzx3|2.a.1.1.65	35.075	4.95e-54	193	79	SSTG01000085.1 Muribaculaceae bacterium strain NM86_A22 NODE_85_length_10171_cov_1388.29, whole genome shotgun sequence	7987	9153
a0qzx3	2.a.1	arabinose	EX_cpd00224_e0,EX_cpd00185_e0	rxn12574	gnl|tc-db|a0qzx3|2.a.1.1.65	35.075	4.95e-54	193	79	SSTG01000085.1 Muribaculaceae bacterium strain NM86_A22 NODE_85_length_10171_cov_1388.29, whole genome shotgun sequence	7987	9153
a1s297	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s297|2.a.1.7.11	34.704	2.24e-55	193	96	SSTG01000119.1 Muribaculaceae bacterium strain NM86_A22 NODE_119_length_7519_cov_1211.32, whole genome shotgun sequence	1913	777
a1s297	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s297|2.a.1.7.11	34.704	2.24e-55	193	96	SSTG01000119.1 Muribaculaceae bacterium strain NM86_A22 NODE_119_length_7519_cov_1211.32, whole genome shotgun sequence	1913	777
a1s5f4	2.a.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|tc-db|a1s5f4|2.a.1.7.10	33.846	1.15e-51	183	91	SSTG01000119.1 Muribaculaceae bacterium strain NM86_A22 NODE_119_length_7519_cov_1211.32, whole genome shotgun sequence	1913	777
a1s5f4	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a1s5f4|2.a.1.7.10	33.846	1.15e-51	183	91	SSTG01000119.1 Muribaculaceae bacterium strain NM86_A22 NODE_119_length_7519_cov_1211.32, whole genome shotgun sequence	1913	777
a2rka7	3.a.1	purine	EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0,EX_cpd00018_e0,EX_cpd00126_e0,EX_cpd00114_e0,EX_cpd00497_e0	rxn09864	gnl|tc-db|a2rka7|3.a.1.2.17	22.868	1.48e-15	76.3	92	SSTG01000142.1 Muribaculaceae bacterium strain NM86_A22 NODE_142_length_5986_cov_1105.4, whole genome shotgun sequence	607	2118
a3m0n3	2.a.1	glucose	EX_cpd00027_e0,EX_cpd00079_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|tc-db|a3m0n3|2.a.1.1.68	29.837	8.32e-25	105	76	SSTG01000085.1 Muribaculaceae bacterium strain NM86_A22 NODE_85_length_10171_cov_1388.29, whole genome shotgun sequence	7954	9150
a5h2u6	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a5h2u6|2.a.1.9.6	24.401	6.08e-09	55.5	83	SSTG01000085.1 Muribaculaceae bacterium strain NM86_A22 NODE_85_length_10171_cov_1388.29, whole genome shotgun sequence	7915	9144
a5lgm7	2.a.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|tc-db|a5lgm7|2.a.1.1.129	29.808	2.79e-43	161	77	SSTG01000085.1 Muribaculaceae bacterium strain NM86_A22 NODE_85_length_10171_cov_1388.29, whole genome shotgun sequence	7993	9198
a6lw11	3.a.1	xylose		rxn05167,rxn09383	gnl|tc-db|a6lw11|3.a.1.2.26	22.421	4.07e-14	72.0	84	SSTG01000116.1 Muribaculaceae bacterium strain NM86_A22 NODE_116_length_7682_cov_1401.68, whole genome shotgun sequence	6250	4844
a8h019	2.a.21	sodium		rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|tc-db|a8h019|2.a.21.3.9	28.112	3.24e-36	139	89	SSTG01000069.1 Muribaculaceae bacterium strain NM86_A22 NODE_69_length_11720_cov_1411.96, whole genome shotgun sequence	944	2305
a8n031	2.a.1	phosphate	EX_cpd00016_e0,EX_cpd00079_e0,EX_cpd00080_e0,EX_cpd00235_e0,EX_cpd00793_e0,EX_cpd01912_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|tc-db|a8n031|2.a.1.9.10	23.848	1.21e-12	67.4	92	SSTG01000085.1 Muribaculaceae bacterium strain NM86_A22 NODE_85_length_10171_cov_1388.29, whole genome shotgun sequence	7810	9153
